C_ID,C_NAME,C_DESC,C_SDATE,C_EMAIL,C_LINK,C_LOGO,F_ID
PESURRC001,AATMATRISHA,"Aatmatrisha is the annual techno-cultural fest of PES University. The club hosts the fest for two exotic days with Technical, Cultural, Literary Quiz, Creative and comedy events. The fest is spread over two evenings, The Culnite - where all the clubs of PES University perform and display their tremendous talents. Members are recruited through a recruitment drive a few months prior to the event.",2000-01-01',aatmatrisha@pes.edu,https://clubs.pes.edu/aatmatrisha,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\AATMATRISHA.jpg,PESURRF006
PESURRC002,ACM-W,"We are a student chapter at PES University, inspired by the international ACM-W, which is an an association that advocates the full engagement of women in all aspects of the computing field.",2020-01-01',acmw@pes.edu,https://clubs.pes.edu/acmw,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\ACM-W.jpg,PESURRF011
PESURRC003,AIKYA,"We at AIKYA aim to transform motivated young individuals into socially conscious leaders with a zeal to catalyze the society and a passion to solve contemporary global issues.With the motto - United to Serve, here is an opportunity for all of you to be A changemaker at AIKYA",2020-01-01',aikya@pes.edu,https://clubs.pes.edu/aikya,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\AIKYA.png,PESURRF002
PESURRC004,CORI,The team at CORI is a mix of diverse and experienced talent. This diversity is what makes CORI a unique resource. Many organizations which are known for their cutting edge research capabilities and pioneering work have entrusted CORI with these projects.,2010-06-01',ecori@pes.edu,https://cori.pes.edu/,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\CORI.jpg,PESURRF005
PESURRC005,CSR,"The Collegiate Social Responsibility (CSR) Club of PES University is guided by the vision of the University to create a professionally superior and ethically strong global workforce. The main objective of the club is to inculcate values, sustainability and self awareness among students, to engage them in social activities consistently throughout their stay in the campus and to recognize their dedication, commitment and consistency in social engagement at the end of their studies. ",2005-06-01',csr@pes.edu,https://clubs.pes.edu/csr-club,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\CSR.jpg,PESURRF001
PESURRC006,EMBRIONE,"The Embrione is a peer-to-peer based tech community, under the CSE vertical of PES University, Bangalore. The club mainly focuses on Providing a platform and opportunities for students to grow and develop their skill sets. The club focuses at students in the first and second years by organising beginner-friendly hackathons and other such technical events. We bring together fresh minds and give them a stage the freedom to unleash their full potential.",2022-06-01',embrione_cse@pes.edu,embrionepes.com,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\EMBRIONE.jpg,PESURRF014
PESURRC007,ENACTUS,"Enactus is one of the largest networks of young leaders and entrepreneurs committed to using business as a catalyst for positive social and environmental impact. Students undertake actions through entrepreneurship to solve pertinent local issues, one problem at a time. Through socio-entrepreneurial projects, along with multiple events, EnactusPESU empowers its members to be the harbingers of change in today's world.",2022-06-01',enactuspesu@pes.edu,https://clubs.pes.edu/enactuspesu,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\ENACTUS.jpg,PESURRF008
PESURRC008,ENCORE,"As the Western dance crew of PES University, we focus mainly on street dance styles such as hip-hop, locking, house, krump, afro, and so on. As a group, our intention is not only to give the best possible performances that we can, but to also spread the culture of street dancing in the Bangalore circuit. The styles we stick to have risen outside of dance studios, on the streets and together, we want to make people aware of how dancing isn't just a hobby, but a lifestyle.",2015-06-01',encore@pes.edu,https://clubs.pes.edu/encore,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\ENCORE..jpg,PESURRF006
PESURRC009,EQUINOX,"""EQUINOX - The Space Club of PES University"" has become the premier official club of the college for all Space Science and Technology related activity.The club being an ‘open to all community’ has its vision and mission to encourage and incubate even the tiniest interest in this field. Works closely with top of the line research organisations of PES U such as CORI and CRSST (Center for Research in Space Science and Technology).",2018-03-20',equinox@pes.edu,https://clubs.pes.edu/equinox,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\EQUINOX.png,PESURRF005
PESURRC010,HAYA,"Envisioned by the young automotive enthusiasts whose passion knew no bounds, the team constantly strives and steers towards excellence. The team operates with utmost professionalism and passion which translates into our sterling car. The team is a platform for the students to develop not only their technical skills but also their soft skills.",2008-03-01',hayaracing@pes.edu,https://clubs.pes.edu/www.hayaracingteam.com,C:\Users\Nidhi\Desktop\PES_CLUB_MANAGEMENT\CLUB_LOGO\HAYA.png,PESURRF003
