C_ID,C_SM_NAME,C_SM_LINK
PESURRC001,FACEBOOK,https://clubs.pes.edu/www.facebook.com/ATPESU
PESURRC001,INSTAGRAM ,https://www.instagram.com/aatmatrisha_/
PESURRC002,INSTAGRAM ,https://www.instagram.com/acmw.pesu
PESURRC003,INSTAGRAM ,https://www.instagram.com/aikya_pesu/
PESURRC005,FACEBOOK,https://www.facebook.com/CSR%20Club%20PESU/
PESURRC005,INSTAGRAM ,https://www.instagram.com/csr.pesu/
PESURRC006,LINKED IN ,https://www.linkedin.com/company/the-embrione/?originalSubdomain=in
PESURRC006,INSTAGRAM ,https://www.instagram.com/the_embrione.pesu/
PESURRC006,DISCORD,https://discord.com/invite/jxtae4PKXW
PESURRC007,INSTAGRAM ,https://www.instagram.com/enactus_pesu/
PESURRC008,INSTAGRAM ,https://www.instagram.com/team.encore/
PESURRC009,INSTAGRAM ,https://instagram.com/equinox.pes?igshid=5mi6ncppkha8
PESURRC010,INSTAGRAM ,https://instagram.com/hayaracing?igshid=NTc4MTIwNjQ2YQ==
PESURRC011,INSTAGRAM ,https://www.instagram.com/hopes.pesu/
PESURRC012,INSTAGRAM ,https://www.instagram.com/ieee.ras.pesu/
PESURRC012,LINKED IN ,https://www.linkedin.com/company/ieee-ras-pesu/
PESURRC012,DISCORD,https://discord.gg/Mgwh6Vm55Q
PESURRC013,INSTAGRAM ,https://www.instagram.com/ieee.cs.pesu/
PESURRC014,INSTAGRAM ,https://www.instagram.com/innovationlab.pes/
PESURRC015,INSTAGRAM ,https://instagram.com/kannadakoota_pesu
PESURRC015,YOU TUBE,https://youtube.com/@KannadaKoota
PESURRC027,FACEBOOK,https://www.facebook.com/samarpana.pesit/
PESURRC027,INSTAGRAM ,https://instagram.com/samarpana.india
PESURRC029,INSTAGRAM ,https://www.instagram.com/shunya_pes
PESURRC030,INSTAGRAM ,https://www.instagram.com/tedxpesu/?hl=en
PESURRC030,FACEBOOK,https://m.facebook.com/tedxpesu/?locale=ms_MY
